=== pile(k=4, random_pickup=True) ===
-- trials=200 --
trials= 200 | step=196 | KS=0.042 | inv_mean=669.9 | runs_mean=26.70
-- trials=800 --
trials= 800 | step=  1 | KS=0.073 | inv_mean=624.4 | runs_mean=13.00
trials= 800 | step=  2 | KS=0.039 | inv_mean=652.7 | runs_mean=16.95
trials= 800 | step=  3 | KS=0.032 | inv_mean=664.3 | runs_mean=27.18
trials= 800 | step=  5 | KS=0.029 | inv_mean=664.2 | runs_mean=26.45
trials= 800 | step= 10 | KS=0.015 | inv_mean=662.4 | runs_mean=26.52
trials= 800 | step= 20 | KS=0.033 | inv_mean=662.9 | runs_mean=26.48
trials= 800 | step= 30 | KS=0.031 | inv_mean=657.9 | runs_mean=26.49
trials= 800 | step= 50 | KS=0.039 | inv_mean=660.7 | runs_mean=26.38
trials= 800 | step= 80 | KS=0.031 | inv_mean=663.7 | runs_mean=26.45
trials= 800 | step=120 | KS=0.040 | inv_mean=663.4 | runs_mean=26.48
trials= 800 | step=160 | KS=0.025 | inv_mean=662.6 | runs_mean=26.38
trials= 800 | step=196 | KS=0.015 | inv_mean=667.7 | runs_mean=26.55
-- trials=2000 --
trials=2000 | step=  1 | KS=0.060 | inv_mean=624.4 | runs_mean=13.00
trials=2000 | step=  2 | KS=0.024 | inv_mean=653.6 | runs_mean=16.93
trials=2000 | step=  3 | KS=0.016 | inv_mean=661.7 | runs_mean=27.24
trials=2000 | step=  5 | KS=0.031 | inv_mean=663.5 | runs_mean=26.47
trials=2000 | step= 10 | KS=0.017 | inv_mean=661.1 | runs_mean=26.52
trials=2000 | step= 20 | KS=0.017 | inv_mean=663.7 | runs_mean=26.43
trials=2000 | step= 30 | KS=0.011 | inv_mean=660.9 | runs_mean=26.46
trials=2000 | step= 50 | KS=0.024 | inv_mean=663.0 | runs_mean=26.45
trials=2000 | step= 80 | KS=0.015 | inv_mean=662.1 | runs_mean=26.47
trials=2000 | step=120 | KS=0.021 | inv_mean=663.9 | runs_mean=26.44
trials=2000 | step=160 | KS=0.021 | inv_mean=664.2 | runs_mean=26.48
trials=2000 | step=196 | KS=0.020 | inv_mean=666.7 | runs_mean=26.50

=== pile(k=26, random_pickup=True) ===
